Date,MSFT,AAPL
2024-06-28,444.3636474609375,209.91448974609375
2024-07-01,454.0870361328125,216.02395629882812
2024-07-02,456.62225341796875,219.53216552734375
2024-07-03,458.1036376953125,220.80787658691406
2024-07-05,464.8543395996094,225.5818328857422
2024-07-08,463.5419921875,227.056884765625
2024-07-09,456.8807678222656,227.9139862060547
2024-07-10,463.55194091796875,232.1995849609375
2024-07-11,452.0687561035156,226.80772399902344
2024-07-12,450.9254150390625,229.76776123046875
2024-07-15,451.33306884765625,233.61483764648438
2024-07-16,446.91876220703125,234.033447265625
2024-07-17,440.9534606933594,228.1133270263672
2024-07-18,437.8216857910156,223.42906188964844
2024-07-19,434.5805358886719,223.5586395263672
2024-07-22,440.3768310546875,223.20982360839844
2024-07-23,442.2757873535156,224.25628662109375
2024-07-24,426.4180603027344,217.8079376220703
2024-07-25,415.97882080078125,216.76148986816406
2024-07-26,422.8090515136719,217.2299041748047
2024-07-29,424.2606201171875,217.50897216796875
2024-07-30,420.4726867675781,218.06710815429688
2024-07-31,415.92913818359375,221.3361053466797
2024-08-01,414.6962890625,217.62855529785156
2024-08-02,406.12615966796875,219.12355041503906
2024-08-05,392.86334228515625,208.56903076171875
2024-08-06,397.29754638671875,206.5358428955078
2024-08-07,396.1243896484375,209.11717224121094
2024-08-08,400.3597412109375,212.59547424316406
2024-08-09,403.6704406738281,215.51568603515625
2024-08-12,404.4559020996094,217.0522918701172
2024-08-13,411.6142272949219,220.78408813476562
2024-08-14,414.4477233886719,221.23309326171875
2024-08-15,419.34808349609375,224.22650146484375
2024-08-16,416.7983093261719,225.5535888671875
2024-08-19,419.8460998535156,225.3939208984375
2024-08-20,423.10302734375,226.0125732421875
2024-08-21,422.4456787109375,225.90281677246094
2024-08-22,413.8899841308594,224.0369110107422
2024-08-23,415.1250305175781,226.3418426513672
2024-08-26,411.83819580078125,226.68109130859375
2024-08-27,412.1867980957031,227.52923583984375
2024-08-28,408.95977783203125,225.99261474609375
2024-08-29,411.4696960449219,229.28536987304688
2024-08-30,415.4736328125,228.49710083007812
2024-09-03,407.80438232421875,222.28079223632812
2024-09-04,407.26654052734375,220.36500549316406
2024-09-05,406.7585754394531,221.8916473388672
2024-09-06,400.0953063964844,220.33506774902344
2024-09-09,404.0992431640625,220.4248809814453
2024-09-10,412.5453796386719,219.62661743164062
2024-09-11,421.3500671386719,222.17103576660156
2024-09-12,425.29425048828125,222.28079223632812
2024-09-13,428.8699035644531,222.01136779785156
2024-09-16,429.6169128417969,215.84495544433594
2024-09-17,433.41168212890625,216.31390380859375
2024-09-18,429.0890197753906,220.20535278320312
2024-09-19,436.93756103515625,228.3673858642578
2024-09-20,433.53118896484375,227.6988525390625
2024-09-23,431.77825927734375,225.97265625
2024-09-24,427.4555969238281,226.8706817626953
2024-09-25,430.3838195800781,225.8728790283203
2024-09-26,429.5870361328125,227.02035522460938
2024-09-27,426.3101501464844,227.2897491455078
2024-09-30,428.5810546875,232.48831176757812
2024-10-01,419.00946044921875,225.71322631835938
2024-10-02,415.4636535644531,226.28196716308594
2024-10-03,414.87603759765625,225.17440795898438
2024-10-04,414.39794921875,226.30194091796875
2024-10-07,407.90399169921875,221.2031707763672
2024-10-08,413.0533447265625,225.27420043945312
2024-10-09,415.7923278808594,229.03591918945312
2024-10-10,414.1788330078125,228.53700256347656
2024-10-11,414.6568908691406,227.05029296875
2024-10-14,417.4656677246094,230.79205322265625
2024-10-15,417.0672302246094,233.33645629882812
2024-10-16,414.45770263671875,231.27099609375
2024-10-17,415.0552978515625,231.6401824951172
2024-10-18,416.48956298828125,234.4839324951172
2024-10-21,417.1070861816406,235.96067810058594
2024-10-22,425.8022155761719,235.342041015625
2024-10-23,422.9038391113281,230.25323486328125
2024-10-24,423.0333251953125,230.06365966796875
2024-10-25,426.43963623046875,230.9018096923828
2024-10-28,424.8858642578125,232.88743591308594
2024-10-29,430.2244873046875,233.15684509277344
2024-10-30,430.8021545410156,229.59469604492188
2024-10-31,404.72674560546875,225.4138946533203
2024-11-01,408.7306823730469,222.4204864501953
2024-11-04,406.82830810546875,221.52244567871094
2024-11-05,409.8163146972656,222.95928955078125
2024-11-06,418.50146484375,222.23089599609375
2024-11-07,423.7304992675781,226.98043823242188
2024-11-08,420.85205078125,226.7107391357422
2024-11-11,416.34014892578125,223.98373413085938
2024-11-12,421.340087890625,223.98373413085938
2024-11-13,423.5014343261719,224.8727569580078
2024-11-14,425.1846923828125,227.9693603515625
2024-11-15,413.3421936035156,224.7528839111328
2024-11-18,414.0991516113281,227.7695770263672
2024-11-19,416.12103271484375,228.02928161621094
2024-11-20,413.8302001953125,228.7484893798828
2024-11-21,412.0437927246094,228.26902770996094
2024-11-22,416.16552734375,229.61753845214844
2024-11-25,417.95196533203125,232.61424255371094
2024-11-26,427.133544921875,234.8018341064453
2024-11-27,422.1435546875,234.67198181152344
2024-11-29,422.61260986328125,237.06935119628906
2024-12-02,430.1175842285156,239.3268585205078
2024-12-03,430.3371276855469,242.3834991455078
2024-12-04,436.544677734375,242.74310302734375
2024-12-05,441.7342529296875,242.7730712890625
2024-12-06,442.682373046875,242.5732879638672
2024-12-09,445.12744140625,246.47900390625
2024-12-10,442.4428405761719,247.4978790283203
2024-12-11,448.0915222167969,246.2192840576172
2024-12-12,448.6603698730469,247.68768310546875
2024-12-13,446.37493896484375,247.85748291015625
2024-12-16,450.6863098144531,250.7642822265625
2024-12-17,453.5505676269531,253.20159912109375
2024-12-18,436.5147399902344,247.77757263183594
2024-12-19,436.15545654296875,249.51565551757812
2024-12-20,435.726318359375,254.21051025390625
2024-12-23,434.3790283203125,254.98965454101562
2024-12-24,438.4508361816406,257.91644287109375
2024-12-26,437.2332763671875,258.7355041503906
2024-12-27,429.66845703125,255.30929565429688
2024-12-30,423.9798583984375,251.9230194091797
2024-12-31,420.6565246582031,250.1449737548828
2025-01-02,417.74237060546875,243.5821990966797
2025-01-03,422.5028381347656,243.0927276611328
2025-01-06,426.99383544921875,244.73092651367188
2025-01-07,421.5247802734375,241.94400024414062
2025-01-08,423.7104187011719,242.43344116210938
2025-01-10,418.11163330078125,236.58987426757812
2025-01-13,416.35516357421875,234.14256286621094
2025-01-14,414.8382263183594,233.02378845214844
2025-01-15,425.4569091796875,237.60874938964844
2025-01-16,423.7303466796875,228.00930786132812
2025-01-17,428.1714782714844,229.7274169921875
2025-01-21,427.64251708984375,222.39547729492188
2025-01-22,445.30712890625,223.58416748046875
2025-01-23,445.8160705566406,223.41436767578125
2025-01-24,443.17138671875,222.5353240966797
2025-01-27,433.6903991699219,229.6075439453125
2025-01-28,446.30511474609375,237.99832153320312
2025-01-29,441.44482421875,239.0971221923828
2025-01-30,414.1595458984375,237.3290557861328
2025-01-31,414.22943115234375,235.74081420898438
2025-02-03,410.09771728515625,227.75958251953125
2025-02-04,411.5447998046875,232.54432678222656
2025-02-05,412.4629821777344,232.21469116210938
2025-02-06,414.9879150390625,232.9638671875
2025-02-07,408.9300537109375,227.3800048828125
2025-02-10,411.3951110839844,227.64999389648438
2025-02-11,410.6166687011719,232.6199951171875
2025-02-12,408.2214660644531,236.8699951171875
2025-02-13,409.7184753417969,241.52999877929688
2025-02-14,407.6126708984375,244.60000610351562
2025-02-18,408.8202819824219,244.47000122070312
2025-02-19,413.94000244140625,244.8699951171875
2025-02-20,416.1300048828125,245.8300018310547
2025-02-21,408.2099914550781,245.5500030517578
2025-02-24,404.0,247.10000610351562
2025-02-25,397.8999938964844,247.0399932861328
2025-02-26,399.7300109863281,240.36000061035156
2025-02-27,392.5299987792969,237.3000030517578
2025-02-28,396.989990234375,241.83999633789062
2025-03-03,388.489990234375,238.02999877929688
2025-03-04,388.6099853515625,235.92999267578125
2025-03-05,401.0199890136719,235.74000549316406
2025-03-06,396.8900146484375,235.3300018310547
2025-03-07,393.30999755859375,239.07000732421875
2025-03-10,380.1600036621094,227.47999572753906
2025-03-11,380.45001220703125,220.83999633789062
2025-03-12,383.2699890136719,216.97999572753906
2025-03-13,378.7699890136719,209.67999267578125
2025-03-14,388.55999755859375,213.49000549316406
2025-03-17,388.70001220703125,214.0
2025-03-18,383.5199890136719,212.69000244140625
2025-03-19,387.82000732421875,215.24000549316406
2025-03-20,386.8399963378906,214.10000610351562
2025-03-21,391.260009765625,218.27000427246094
2025-03-24,393.0799865722656,220.72999572753906
2025-03-25,395.1600036621094,223.75
2025-03-26,389.9700012207031,221.52999877929688
2025-03-27,390.5799865722656,223.85000610351562
2025-03-28,378.79998779296875,217.89999389648438
2025-03-31,375.3900146484375,222.1300048828125
2025-04-01,382.19000244140625,223.19000244140625
2025-04-02,382.1400146484375,223.88999938964844
2025-04-03,373.1099853515625,203.19000244140625
2025-04-04,359.8399963378906,188.3800048828125
2025-04-07,357.8599853515625,181.4600067138672
2025-04-08,354.55999755859375,172.4199981689453
2025-04-09,390.489990234375,198.85000610351562
2025-04-10,381.3500061035156,190.4199981689453
2025-04-11,388.45001220703125,198.14999389648438
2025-04-14,387.80999755859375,202.52000427246094
2025-04-15,385.7300109863281,202.13999938964844
2025-04-16,371.6099853515625,194.27000427246094
2025-04-17,367.7799987792969,196.97999572753906
2025-04-21,359.1199951171875,193.16000366210938
2025-04-22,366.82000732421875,199.74000549316406
2025-04-23,374.3900146484375,204.60000610351562
2025-04-24,387.29998779296875,208.3699951171875
2025-04-25,391.8500061035156,209.27999877929688
